source,placeholder,desc,version
BentoBox,[gamemode]_visited_island_bans_count,被玩家当前所在岛屿封禁的玩家数量,1.5.2
BentoBox,[gamemode]_has_island,玩家是否拥有岛屿,1.5.0
BentoBox,[gamemode]_owns_island,玩家是否为一个岛屿的岛主,1.14.0
BentoBox,[gamemode]_rank,玩家在其岛屿上的权限等级,1.5.0
BentoBox,[gamemode]_resets,玩家重置其岛屿的次数,1.5.0
BentoBox,[gamemode]_resets_left,玩家剩余可重置岛屿的次数,1.5.0
BentoBox,[gamemode]_deaths,玩家的死亡次数,1.12.0
BentoBox,[gamemode]_on_island,玩家是否在其所属岛屿上,1.13.0
BentoBox,[gamemode]_island_online_members_count,当前在线的岛屿成员数量,2.0.1
BentoBox,[gamemode]_visited_island_online_members_count,当前所在岛屿的在线成员数量,2.0.1
Bank,Bank_[gamemode]_island_balance,玩家所在岛屿的银行余额,1.1.0
Bank,Bank_[gamemode]_visited_island_balance,玩家当前所在岛屿的银行余额,1.1.0
Bank,Bank_[gamemode]_island_balance_number,玩家所在岛屿的银行余额（原始数字）,1.3.0
Bank,Bank_[gamemode]_visited_island_balance_number,玩家当前所在岛屿的银行余额（原始数字）,1.3.0
Bank,Bank_[gamemode]_island_balance_formatted,玩家所在岛屿的银行余额（格式化数字）,1.3.0
Bank,Bank_[gamemode]_visited_island_balance_formatted,玩家当前所在岛屿的银行余额（格式化数字）,1.3.0
Bank,Bank_[gamemode]_top_value_<number>,排行榜第 <number> 名岛屿的银行余额,1.1.0
Bank,Bank_[gamemode]_top_name_<number>,排行榜第 <number> 名岛屿所有者的名称,1.1.0
Bank,Bank_[gamemode]_top_island_<number>,排行榜第 <number> 名岛屿的名称,1.10.0
Bank,Bank_[gamemode]_latest_transaction,玩家最近的岛屿银行交易记录（格式：[用户名] [交易类型] $[金额]）,1.10.0
Challenges,[gamemode]_challenges_total_completion_count,玩家完成挑战的总次数,0.8.3
Challenges,[gamemode]_challenges_completed_count,玩家已完成的挑战数量,0.8.3
Challenges,[gamemode]_challenges_uncompleted_count,玩家尚未完成的挑战数量,0.8.3
Challenges,[gamemode]_challenges_completed_percent,玩家已完成挑战的百分比,1.8.0
Challenges,[gamemode]_challenges_completed_level_count,玩家已完成的等级数量,0.8.3
Challenges,[gamemode]_challenges_uncompleted_level_count,玩家尚未完成的等级数量,0.8.3
Challenges,[gamemode]_challenges_unlocked_level_count,玩家已解锁的等级数量,0.8.3
Challenges,[gamemode]_challenges_locked_level_count,玩家尚未解锁的等级数量,0.8.3
Challenges,[gamemode]_challenges_latest_level_name,最新解锁的挑战等级名称,0.8.3
Challenges,[gamemode]_challenges_latest_level_id,最新解锁的挑战等级 ID,0.8.3
Challenges,[gamemode]_challenges_latest_level_completed_count,最新解锁等级中玩家已完成的挑战数量,0.8.3
Challenges,[gamemode]_challenges_latest_level_uncompleted_count,最新解锁等级中玩家尚未完成的挑战数量,0.8.3
Challenges,[gamemode]_challenges_latest_level_completed_percent,最新解锁等级中玩家已完成挑战的百分比,1.8.0
Level,Level_[gamemode]_island_level,玩家所在岛屿的等级,1.9.0
Level,Level_[gamemode]_visited_island_level,玩家当前所在岛屿的等级,1.9.0
Level,Level_[gamemode]_top_value_<number>,排行榜第 <number> 名岛屿的等级,1.9.0
Level,Level_[gamemode]_top_name_<number>,排行榜第 <number> 名岛屿所有者的名称,1.9.0
Level,Level_[gamemode]_top_island_name_<number>,排行榜第 <number> 名岛屿的名称,2.11.0
Level,Level_[gamemode]_top_members_<number>,排行榜第 <number> 名岛屿的成员列表,2.11.0
Level,Level_[gamemode]_top_weighted_value_<number>,排行榜第 <number> 名岛屿的加权等级（等级/成员数）,2.12.0
Level,Level_[gamemode]_top_weighted_name_<number>,排行榜第 <number> 名岛屿加权等级的所有者名称,2.12.0
Level,Level_[gamemode]_top_weighted_members_<number>,排行榜第 <number> 名岛屿加权等级的成员列表,2.12.0
Level,Level_[gamemode]_top_weighted_island_name_<number>,排行榜第 <number> 名岛屿加权等级的名称,2.12.0
Level,Level_[gamemode]_points_to_next_level,玩家升到下一级所需积分,2.3.3
Level,Level_[gamemode]_rank_value,显示岛屿的排名值,2.7.2
Level,Level_[gamemode]_island_level_raw,未格式化的岛屿等级,2.8.1
Level,Level_[gamemode]_island_total_points,应用等级公式之前计算的总积分,2.10.0
Level,Level_[gamemode]_island_level_max,该岛屿曾达到过的最高等级（当前等级可能更低）,2.10.0
Likes,[gamemode]_likes_addon_island_likes_count,玩家岛屿获得的点赞数量,1.7.0
Likes,[gamemode]_likes_addon_island_likes_place,按点赞数排名的岛屿名次,1.7.0
Likes,[gamemode]_likes_addon_island_dislikes_count,玩家岛屿获得的点踩数量,1.7.0
Likes,[gamemode]_likes_addon_island_dislikes_place,按点踩数排名的岛屿名次,1.7.0
Likes,[gamemode]_likes_addon_island_rank_count,玩家岛屿的排名分数（点赞数 - 点踩数）,1.7.0
Likes,[gamemode]_likes_addon_island_rank_place,按排名分数排名的岛屿名次,1.7.0
Likes,[gamemode]_likes_addon_island_stars_value,玩家岛屿获得的平均星级评分,2.0.0
Likes,[gamemode]_likes_addon_island_stars_place,按星级评分排名的岛屿名次,2.0.0
Likes,[gamemode]_likes_addon_visited_island_likes_count,玩家所在岛屿获得的点赞数量,2.1.0
Likes,[gamemode]_likes_addon_visited_island_likes_place,玩家所在岛屿按点赞数排名的名次,2.1.0
Likes,[gamemode]_likes_addon_visited_island_dislikes_count,玩家所在岛屿获得的点踩数量,2.1.0
Likes,[gamemode]_likes_addon_visited_island_dislikes_place,玩家所在岛屿按点踩数排名的名次,2.1.0
Likes,[gamemode]_likes_addon_visited_island_rank_count,玩家所在岛屿的排名分数（点赞数 - 点踩数）,2.1.0
Likes,[gamemode]_likes_addon_visited_island_rank_place,玩家所在岛屿按排名分数排名的名次,2.1.0
Likes,[gamemode]_likes_addon_visited_island_stars_value,玩家所在岛屿获得的平均星级评分,2.1.0
Likes,[gamemode]_likes_addon_visited_island_stars_place,玩家所在岛屿按星级评分排名的名次,2.1.0
Likes,[gamemode]_likes_addon_top_likes_owner_name_<number>,按点赞数排名第 <number> 名的岛屿所有者名称,1.7.0
Likes,[gamemode]_likes_addon_top_likes_island_name_<number>,按点赞数排名第 <number> 名的岛屿名称,1.7.0
Likes,[gamemode]_likes_addon_top_likes_count_<number>,按点赞数排名第 <number> 名岛屿的点赞数量,1.7.0
Likes,[gamemode]_likes_addon_top_dislikes_owner_name_<number>,按点踩数排名第 <number> 名的岛屿所有者名称,1.7.0
Likes,[gamemode]_likes_addon_top_dislikes_island_name_<number>,按点踩数排名第 <number> 名的岛屿名称,1.7.0
Likes,[gamemode]_likes_addon_top_dislikes_count_<number>,按点踩数排名第 <number> 名岛屿的点踩数量,1.7.0
Likes,[gamemode]_likes_addon_top_rank_owner_name_<number>,按排名分数排名第 <number> 名的岛屿所有者名称,1.7.0
Likes,[gamemode]_likes_addon_top_rank_island_name_<number>,按排名分数排名第 <number> 名的岛屿名称,1.7.0
Likes,[gamemode]_likes_addon_top_rank_count_<number>,按排名分数排名第 <number> 名岛屿的排名分数,1.7.0
Likes,[gamemode]_likes_addon_top_stars_owner_name_<number>,按星级评分排名第 <number> 名的岛屿所有者名称,2.0.0
Likes,[gamemode]_likes_addon_top_stars_island_name_<number>,按星级评分排名第 <number> 名的岛屿名称,2.0.0
Likes,[gamemode]_likes_addon_top_stars_count_<number>,按星级评分排名第 <number> 名岛屿的平均星级,2.0.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_active_generator_count,玩家岛屿上当前活跃的生成器数量,2.2.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_max_active_generator_count,玩家岛屿上允许的最大活跃生成器数量,2.2.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_active_generator_names,活跃生成器名称列表（逗号分隔）,2.2.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_unlocked_generator_names,已解锁生成器名称列表（逗号分隔）,2.2.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_purchased_generator_names,已购买生成器名称列表（逗号分隔）,2.2.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_generator_exhaustion_status,玩家岛屿上每个活跃生成器的耗尽状态（已生成数量/上限）,2.8.0
MagicCobblestoneGenerator,[gamemode]_magiccobblestonegenerator_exhausted_generator_names,玩家岛屿上当前处于耗尽冷却中的生成器名称列表（逗号分隔）,2.8.0
Limits,Limits_[gamemode]_island_[material]_count,岛屿上该材料（小写）的当前数量,1.17.2
Limits,Limits_[gamemode]_island_[material]_limit,岛屿上该材料（小写）的数量上限,1.17.2
Limits,Limits_[gamemode]_island_reached_limits,所有维度中达到或超过上限的所有受限方块、实体和实体组列表（逗号分隔）,1.29.0
Limits,Limits_[gamemode]_island_reached_limits_overworld,仅主世界中达到或超过上限的列表,1.29.0
Limits,Limits_[gamemode]_island_reached_limits_nether,仅下界中达到或超过上限的列表,1.29.0
Limits,Limits_[gamemode]_island_reached_limits_end,仅末地中达到或超过上限的列表,1.29.0
TopBlock,aoneblock_island_player_name_top_<number>,排行榜第 <number> 名的岛屿所有者名称,1.0.1
TopBlock,aoneblock_island_member_names_top_<number>,排行榜第 <number> 名的岛屿团队成员名称,1.0.1
TopBlock,aoneblock_island_phase_name_top_<number>,排行榜第 <number> 名所达到的阶段名称,1.0.1
TopBlock,aoneblock_island_phase_number_top_<number>,排行榜第 <number> 名的阶段编号（平原为1，地下为2）,1.0.1
TopBlock,aoneblock_island_count_top_<number>,排行榜第 <number> 名本轮挖掘的魔法方块数量,1.0.1
TopBlock,aoneblock_island_lifetime_top_<number>,排行榜第 <number> 名累计挖掘的魔法方块总量,1.0.1
Border,Border_color,玩家当前的边界颜色（红/绿/蓝）,4.8.0
InvSwitcher,[gamemode]_invswitcher_balance,玩家在该游戏模式世界中的金钱余额,1.18.0
InvSwitcher,[gamemode]_invswitcher_balance_formatted,玩家在该游戏模式世界中的金钱余额（带货币名称的格式化显示）,1.18.0
